"term","estimate","std.error","statistic","p.value","coef.type"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans",-0.404912201364689,0.315688667118813,-1.28263141360185,0.199621239148473,"location"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma",-16.938165178886,13.2183986763235,-1.28140825478545,0.200050306217666,"location"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma.s__Dielma_fastidiosa",-16.938165178886,13.2183986763235,-1.28140825478545,0.200050306217666,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_parasanguinis",8.937910390582,7.00500063634717,1.27593284491731,0.201979259254389,"location"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter",12.9571558866495,10.1838325428003,1.27232609454187,0.20325728081497,"location"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter.s__Asaccharobacter_celatus",12.9571558866495,10.1838325428003,1.27232609454187,0.20325728081497,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bromii",0.214760970870802,0.168975152416708,1.27096184142614,0.203742224074998,"location"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL311",14.2300430877436,11.2076572434205,1.26967150927973,0.204201665475182,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_intestinalis",-0.333625714955564,0.265454506616002,-1.25680938405833,0.208822667196616,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris",0.179617540026773,0.14423552773717,1.24530719195674,0.213018853028562,"location"
"k__Bacteria.p__Verrucomicrobia",-0.12741245188511,0.103411906571956,-1.23208686609461,0.217916637025064,"location"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae",-0.12741245188511,0.103411906571956,-1.23208686609461,0.217916637025064,"location"
